ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   21
   123  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   123  IFO188      L6 IS AN UNDEFINED SYMBOL
   123  IFO188      L2 IS AN UNDEFINED SYMBOL
   123  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 21
   124  IFO188      L1 IS AN UNDEFINED SYMBOL
   124  IFO188      L1 IS AN UNDEFINED SYMBOL
   124  IFO188      R3 IS AN UNDEFINED SYMBOL
   124  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   124  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   124  IFO188      L0 IS AN UNDEFINED SYMBOL
   124  IFO188      R3 IS AN UNDEFINED SYMBOL
   124  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 16
   125  IFO188      R6 IS AN UNDEFINED SYMBOL
   125  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   126  IFO188      R14 IS AN UNDEFINED SYMBOL
   128  IFO188      R6 IS AN UNDEFINED SYMBOL
   128  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   129  IFO188      R6 IS AN UNDEFINED SYMBOL
   129  IFO188      R6 IS AN UNDEFINED SYMBOL
   130  IFO188      R6 IS AN UNDEFINED SYMBOL
   130  IFO188      L0 IS AN UNDEFINED SYMBOL
   130  IFO188      R4 IS AN UNDEFINED SYMBOL
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   24
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  130  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   131  IFO188      R6 IS AN UNDEFINED SYMBOL
   131  IFO188      L5 IS AN UNDEFINED SYMBOL
   132  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   139  IFO078      UNDEFINED OP CODE
   140  IFO078      UNDEFINED OP CODE
   141  IFO078      UNDEFINED OP CODE
   142  IFO078      UNDEFINED OP CODE
   145  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   148  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   149  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   150  IFO197      *** MNOTE ***
   152  IFO078      UNDEFINED OP CODE
   153  IFO078      UNDEFINED OP CODE
   156  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   159  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   160  IFO197      *** MNOTE ***
   162  IFO078      UNDEFINED OP CODE
   163  IFO078      UNDEFINED OP CODE
   166  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   169  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   170  IFO197      *** MNOTE ***
   172  IFO078      UNDEFINED OP CODE
   173  IFO078      UNDEFINED OP CODE
   176  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   179  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   180  IFO197      *** MNOTE ***
   182  IFO078      UNDEFINED OP CODE
   183  IFO078      UNDEFINED OP CODE
   186  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   189  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   190  IFO197      *** MNOTE ***
   192  IFO078      UNDEFINED OP CODE
   195  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
