module	dlib	state	tk5_rmid	ce_rmid	bytes_tk5	bytes_ce	bytes_equal	v_tk5	v_ce	sect_tk5	sect_ce	diff_tk5	diff_ce	len_tk5	len_ce
IDA121CV	AOSC5	rmid-differs	UZ68843	EDM1102	502	490	N	identical	identical	1	1	0	0	N	N
IDACAT11	AOSA0	rmid-differs	UZ66340	UZ32834	4033	3969	N	differs	differs	1	1	0	0	Y	Y
IDACAT12	AOSA0	same	UZ32834	UZ32834	2257	2257	Y	differs	differs	1	1	0	0	Y	Y
IDACAT13	AOSA0	same	UZ34255	UZ34255	1769	1769	Y	differs	differs	1	1	0	0	Y	Y
IDACAT21	AOSU0	same	UZ35336	UZ35336	5605	5605	Y	identical	identical	1	1	0	0	N	N
IDACKRA1	AOSA0	same	EDM1102	EDM1102	1349	1349	Y	differs	differs	1	1	0	0	Y	Y
IDAICIA1	AOSA0	same	UZ30800	UZ30800	2694	2694	Y	differs	differs	1	1	0	0	Y	Y
IDAIIFBF	AOSA0	same	EDM1102	EDM1102	641	641	Y	identical	identical	1	1	0	0	N	N
IDAIIPM1	AOSA0	same	UZ27151	UZ27151	1310	1310	Y	differs	differs	1	1	0	0	Y	Y
IDAIIPM2	AOSA0	same	EDM1102	EDM1102	2065	2065	Y	identical	identical	1	1	0	0	N	N
IDAIIPM3	AOSA0	rmid-differs	UZ72677	UZ31841	2381	2254	N	differs	differs	1	1	0	1361	Y	N
IDAIISM1	AOSA0	same	UZ31048	UZ31048	2046	2046	Y	differs	differs	1	1	0	0	Y	Y
IDAM19R3	AOSC5	rmid-differs	UZ42857	UZ56344	977	885	N	differs	differs	1	1	0	0	Y	Y
IDAOCEA1	AOSA0	rmid-differs	UZ73436	UZ28002	1245	1214	N	differs	differs	1	1	0	0	Y	Y
IDAOCEA2	AOSA0	rmid-differs	UZ63830	UZ37483	2805	2757	N	differs	differs	1	1	0	0	Y	Y
IDAOCEA3	AOSA0	same	EDM1102	EDM1102	397	397	Y	identical	identical	1	1	0	0	N	N
IDAOCEA4	AOSA0	same	EDM1102	EDM1102	509	509	Y	differs	differs	1	1	4	4	N	N
IDAVBPC1	AOSA0	rmid-differs	UZ61349	UZ52124	749	693	N	differs	differs	1	1	0	0	Y	Y
IDAVBPJ1	AOSA0	same	EDM1102	EDM1102	1501	1501	Y	differs	differs	1	1	0	0	Y	Y
IDAVBPJ2	AOSA1	same	EDM1102	EDM1102	1005	1005	Y	differs	differs	1	1	1	1	N	N
IDAVBPO1	AOSA0	same	UZ28732	UZ28732	1446	1446	Y	differs	differs	1	1	15	15	N	N
IDAVBPP1	AOSA0	rmid-differs	UZ61349	UZ52124	2049	2049	N	differs	differs	1	1	0	0	Y	Y
IDAVBPR2	AOSA0	same	EDM1102	EDM1102	1433	1433	Y	identical	identical	1	1	0	0	N	N
IDAVBPS1	AOSA0	same	EDM1102	EDM1102	961	961	Y	identical	identical	1	1	0	0	N	N
IDAVBPS2	AOSA0	same	EDM1102	EDM1102	1333	1333	Y	differs	differs	1	1	0	0	Y	Y
IDCAL01	AOSU0	rmid-differs	UZ67828	UZ32723	18793	18761	N	differs	differs	1	1	0	0	Y	Y
IDCAM01	ACMDLIB	same	EDM1102	EDM1102	649	649	Y	identical	identical	1	1	0	0	N	N
IDCAM02	ACMDLIB	same	EDM1102	EDM1102	649	649	Y	differs	differs	1	1	2	2	N	N
IDCAU01	AOSU0	same	EMS1102	EMS1102	3925	3925	Y	identical	identical	1	1	0	0	N	N
IDCAU02	AOSU0	same	EMS1102	EMS1102	4865	4865	Y	differs	differs	1	1	32	32	N	N
IDCAU03	AOSU0	same	UZ34277	UZ34277	15937	15937	Y	differs	differs	1	1	0	0	Y	Y
IDCAV01	AOSU0	same	EMS1102	EMS1102	13929	13929	Y	identical	identical	1	1	0	0	N	N
IDCBI01	AOSU0	rmid-differs	UZ76648	UZ51920	16605	16613	N	differs	differs	1	1	0	0	Y	Y
IDCCC01	AOSU0	rmid-differs	UZ73075	EDM1102	12181	11941	N	differs	differs	1	1	0	4	Y	N
IDCCDAL	AOSU0	same	EDM1102	EDM1102	7338	7338	Y	differs	differs	2	2	3	3	N	N
IDCCDAU	AOSU0	same	EMS1102	EMS1102	1430	1430	Y	differs	differs	1	1	0	0	Y	Y
IDCCDAV	AOSU0	same	EMS1102	EMS1102	845	845	Y	identical	identical	1	1	0	0	N	N
IDCCDBI	AOSU0	same	EDM1102	EDM1102	1714	1714	Y	identical	identical	2	2	0	0	N	N
IDCCDCC	AOSU0	same	EDM1102	EDM1102	1703	1703	Y	identical	identical	3	3	0	0	N	N
IDCCDCH	AOSU0	same	UZ90118	UZ90118	1302	1302	Y	differs	differs	1	1	0	0	Y	Y
IDCCDCK	AOSU0	same	EDM1102	EDM1102	906	906	Y	identical	identical	2	2	0	0	N	N
IDCCDCN	AOSU0	same	EMS1102	EMS1102	1061	1061	Y	identical	identical	1	1	0	0	N	N
IDCCDCO	AOSU0	same	EMS1102	EMS1102	1157	1157	Y	identical	identical	1	1	0	0	N	N
IDCCDCP	AOSU0	same	EMS1102	EMS1102	669	669	Y	identical	identical	1	1	0	0	N	N
IDCCDCT	AOSU0	same	EMS1102	EMS1102	421	421	Y	identical	identical	1	1	0	0	N	N
IDCCDCV	AOSU0	same	EMS1102	EMS1102	1245	1245	Y	identical	identical	1	1	0	0	N	N
IDCCDDE	AOSU0	same	EDM1102	EDM1102	49098	49098	Y	differs	differs	10	10	0	0	Y	Y
IDCCDDL	AOSU0	same	EDM1102	EDM1102	2178	2178	Y	identical	identical	2	2	0	0	N	N
IDCCDDU	AOSU0	same	UZ90134	UZ90134	1342	1342	Y	differs	differs	1	1	0	0	Y	Y
IDCCDEC	AOSU0	same	EMS1102	EMS1102	573	573	Y	identical	identical	1	1	0	0	N	N
IDCCDEV	AOSU0	same	EMS1102	EMS1102	709	709	Y	identical	identical	1	1	0	0	N	N
IDCCDGR	AOSU0	same	EMS1102	EMS1102	1317	1317	Y	identical	identical	1	1	0	0	N	N
IDCCDLC	AOSU0	same	EDM1102	EDM1102	2490	2490	Y	identical	identical	2	2	0	0	N	N
IDCCDLD	AOSU0	rmid-differs	UY01975	EMS1102	1326	1293	N	differs	identical	1	1	3	0	N	N
IDCCDLM	AOSU0	same	EMS1102	EMS1102	853	853	Y	identical	identical	1	1	0	0	N	N
IDCCDLR	AOSU0	same	EDM1102	EDM1102	1967	1967	Y	identical	identical	3	3	0	0	N	N
IDCCDLV	AOSU0	same	EMS1102	EMS1102	1665	1665	Y	identical	identical	1	1	0	0	N	N
IDCCDMC	AOSU0	same	EMS1102	EMS1102	1641	1641	Y	identical	identical	1	1	0	0	N	N
IDCCDMG	AOSU0	rmid-differs	UZ40304	EMS1102	1606	1617	N	differs	identical	1	1	0	0	Y	N
IDCCDMP	AOSU0	same	EDM1102	EDM1102	3924	3924	Y	identical	identical	4	4	0	0	N	N
IDCCDMV	AOSU0	rmid-differs	UY12664	EMS1102	1854	1821	N	differs	differs	1	1	0	0	Y	Y
IDCCDNC	AOSU0	same	UZ90134	UZ90134	886	886	Y	differs	differs	1	1	0	0	Y	Y
IDCCDPM	AOSU0	same	EDM1102	EDM1102	2729	2729	Y	identical	identical	5	5	0	0	N	N
IDCCDPR	AOSU0	same	EDM1102	EDM1102	3866	3866	Y	identical	identical	2	2	0	0	N	N
IDCCDRC	AOSU0	same	EDM1102	EDM1102	2913	2913	Y	identical	identical	5	5	0	0	N	N
IDCCDRD	AOSU0	same	EMS1102	EMS1102	15079	15079	Y	identical	identical	11	11	0	0	N	N
IDCCDRL	AOSU0	same	EMS1102	EMS1102	517	517	Y	identical	identical	1	1	0	0	N	N
IDCCDRM	AOSU0	same	EDM1102	EDM1102	2916	2916	Y	identical	identical	4	4	0	0	N	N
IDCCDRP	AOSU0	same	UZ51920	UZ51920	3362	3362	Y	differs	differs	3	3	0	0	Y	Y
IDCCDRR	AOSU0	same	EMS1102	EMS1102	693	693	Y	identical	identical	1	1	0	0	N	N
IDCCDRS	AOSU0	same	EDM1102	EDM1102	2321	2321	Y	identical	identical	5	5	0	0	N	N
IDCCDRV	AOSU0	same	EMS1102	EMS1102	861	861	Y	identical	identical	1	1	0	0	N	N
IDCCDSD	AOSU0	rmid-differs	UY01975	EMS1102	1334	1301	N	differs	identical	1	1	3	0	N	N
IDCCDSG	AOSU0	same	EMS1102	EMS1102	413	413	Y	identical	identical	1	1	0	0	N	N
IDCCDSR	AOSU0	same	EMS1102	EMS1102	901	901	Y	identical	identical	1	1	0	0	N	N
IDCCDST	AOSU0	same	EMS1102	EMS1102	357	357	Y	identical	identical	1	1	0	0	N	N
IDCCDSV	AOSU0	same	EMS1102	EMS1102	597	597	Y	identical	identical	1	1	0	0	N	N
IDCCDTR	AOSU0	same	EMS1102	EMS1102	1085	1085	Y	identical	identical	1	1	0	0	N	N
IDCCDTU	AOSU0	same	UZ90107	UZ90107	935	935	Y	differs	differs	1	1	0	0	Y	Y
IDCCDVY	AOSU0	same	EDM1102	EDM1102	666	666	Y	identical	identical	2	2	0	0	N	N
IDCCDXP	AOSU0	same	EDM1102	EDM1102	2839	2839	Y	identical	identical	3	3	0	0	N	N
IDCCH01	AOSU0	rmid-differs	UZ78728	UZ90118	17489	16937	N	differs	differs	1	1	0	0	Y	Y
IDCCH02	AOSU0	same	UZ57530	UZ57530	30185	30185	Y	differs	differs	1	1	0	0	Y	Y
IDCCH03	AOSU0	same	UZ90118	UZ90118	6049	6049	Y	differs	differs	1	1	0	0	Y	Y
IDCCH04	AOSU0	rmid-differs	UZ77689	UZ90118	8161	8025	N	differs	differs	1	1	0	0	Y	Y
IDCCK01	AOSU0	same	EDM1102	EDM1102	6385	6385	Y	differs	differs	1	1	2	2	N	N
IDCCN01	AOSU0	same	UZ28739	UZ28739	13778	13778	Y	differs	differs	1	1	0	0	Y	Y
IDCCO01	AOSU0	rmid-differs	UZ57201	UZ29438	12661	12413	N	differs	differs	1	1	0	0	Y	Y
IDCCP01	AOSU0	same	EMS1102	EMS1102	6793	6793	Y	identical	identical	1	1	0	0	N	N
IDCCT01	AOSU0	same	EMS1102	EMS1102	1889	1889	Y	differs	differs	1	1	4	4	N	N
IDCCV01	AOSU0	same	UZ30385	UZ30385	9138	9138	Y	differs	differs	1	1	0	0	Y	Y
IDCDB01	AOSU0	same	EDM1102	EDM1102	1673	1673	Y	differs	differs	1	1	3	3	N	N
IDCDE01	AOSU0	same	UZ55659	UZ55659	6345	6345	Y	differs	differs	1	1	0	0	Y	Y
IDCDE02	AOSU0	rmid-differs	UZ38803	UZ34056	12245	12181	N	differs	differs	1	1	0	0	Y	Y
IDCDE03	AOSU0	rmid-differs	UZ70928	EDM1102	15865	15129	N	differs	differs	1	1	0	2	Y	N
IDCDL01	AOSU0	rmid-differs	UZ59271	UZ56312	10421	10493	N	differs	differs	1	1	0	0	Y	Y
