module	distlib	tk5_rmid	ce_rmid	state
BLSUMONA	AOS32	UZ24711	UZ24711	same
BLSUMONC	AOS32	EIP1102	EIP1102	same
BLSUMOND	AOS32	EIP1102	EIP1102	same
BLSUMONI	AOS32	EIP1102	EIP1102	same
BLSUMONL	AOS32	UZ22348	UZ22348	same
BLSUMONT	AOS32	EIP1102	EIP1102	same
BLSUMONX	AOS32	EIP1102	EIP1102	same
BLSUMPK1	AOS32	EIP1102	EIP1102	same
BLSUMPKN	AOS32	EIP1102	EIP1102	same
BLSUMTOD	AOS32	UZ35548	UZ35548	same
BLSUNOTE	AOS32	EIP1102	EIP1102	same
BLSUPARI	AOS32	EIP1102	EIP1102	same
BLSUPARU	AOS32	EIP1102	EIP1102	same
BLSUPGMC	AOS32	EIP1102	EIP1102	same
BLSUPGMD	AOS32	EIP1102	EIP1102	same
BLSUPGML	AOS32	EIP1102	EIP1102	same
BLSUPGMR	AOS32	EIP1102	EIP1102	same
BLSUPRCL	AOS32	EIP1102	EIP1102	same
BLSUPROP	AOS32	EIP1102	EIP1102	same
BLSUPRTA	AOS32	EIP1102	EIP1102	same
BLSUPRTN	AOS32	EIP1102	EIP1102	same
BLSUPRTT	AOS32	EIP1102	EIP1102	same
BLSUPUT	AOS32	UZ90097	UZ90097	same
BLSUPUTA	AOS32	EIP1102	EIP1102	same
BLSUPUTC	AOS32	EIP1102	EIP1102	same
BLSUPUTD	AOS32	EIP1102	EIP1102	same
BLSUPUTN	AOS32	EIP1102	EIP1102	same
BLSUPUTO	AOS32	EIP1102	EIP1102	same
BLSUPUTT	AOS32	EIP1102	EIP1102	same
BLSUPUTV	AOS32	EIP1102	EIP1102	same
BLSUSTAE	AOS32	EIP1102	EIP1102	same
BLSUSTAI	AOS32	EIP1102	EIP1102	same
BLSUTRMA	AOS32	EIP1102	EIP1102	same
BLSUTRMN	AOS32	EIP1102	EIP1102	same
BLSUTRMO	AOS32	EIP1102	EIP1102	same
BLSUTRMV	AOS32	EIP1102	EIP1102	same
BLSUTSO	AOS32	UZ22348	UZ22348	same
BLSUVECT	AOS32	UZ90098	UZ90098	same
BLSUVP21	AOS32	EIP1102	EIP1102	same
BLSUVP31	AOS32	UZ90098	UZ90098	same
BLSUVP32	AOS32	EIP1102	EIP1102	same
BLSUVP99	AOS32	EIP1102	EIP1102	same
BLSUVPVA	AOS32	EIP1102	EIP1102	same
BLSUVPX1	AOS32	EIP1102	EIP1102	same
BLSUVSAR	AOS32	EIP1102	EIP1102	same
BLSUVSCL	AOS32	EIP1102	EIP1102	same
BLSUVSCR	AOS32	EIP1102	EIP1102	same
BLSUVSEN	AOS32	EIP1102	EIP1102	same
BLSUVSER	AOS32	EIP1102	EIP1102	same
BLSUVSGE	AOS32	EIP1102	EIP1102	same
BLSUVSGU	AOS32	EIP1102	EIP1102	same
BLSUVSMR	AOS32	EIP1102	EIP1102	same
BLSUVSOP	AOS32	EIP1102	EIP1102	same
