module	distlib	tk5_rmid	ce_rmid	state
IFDMSG05	AOS06	EBB1102	EBB1102	same
IFDMSG06	AOS06	EBB1102	EBB1102	same
IFDMSG07	AOS06	EBB1102	EBB1102	same
IFDMSG08	AOS06	EBB1102	EBB1102	same
IFDMSG13	AOS06	EBB1102	EBB1102	same
IFDMSG22	AOS06	EBB1102	EBB1102	same
IFDMSG31	AOS06	EBB1102	EBB1102	same
IFDMSG32	AOS06	EBB1102	EBB1102	same
IFDMSG33	AOS06	EBB1102	EBB1102	same
IFDMSG37	AOS06	EBB1102	EBB1102	same
IFDMSG38	AOS06	EBB1102	EBB1102	same
IFDMSG50	AOS06	EBB1102	EBB1102	same
IFDMSG53	AOS06	UZ59401	UZ59401	same
IFDMSG54	AOS06	EBB1102	EBB1102	same
IFDMSG56	AOS06	EBB1102	EBB1102	same
IFDMSG61	AOS06	EBB1102	EBB1102	same
IFDMSG73	AOS06	EBB1102	EBB1102	same
IFDMSG74	AOS06	EBB1102	EBB1102	same
IFDMSGAJ	AOS06	EBB1102	EBB1102	same
IFDOLT00	AOS06	UZ49895	UZ64132	rmid-differs
IFDOLT03	AOS06	UZ75107	UZ75107	same
IFDOLT04	AOS06	EBB1102	EBB1102	same
IFDOLT05	AOS06	EBB1102	EBB1102	same
IFDOLT06	AOS06	EBB1102	EBB1102	same
IFDOLT07	AOS06	EBB1102	EBB1102	same
IFDOLT08	AOS06	EBB1102	EBB1102	same
IFDOLT09	AOS06	EBB1102	EBB1102	same
IFDOLT0A	AOS06	UZ31173	UZ31173	same
IFDOLT10	AOS06	EBB1102	EBB1102	same
IFDOLT11	AOS06	EBB1102	EBB1102	same
IFDOLT12	AOS06	UZ26756	UZ26756	same
IFDOLT13	AOS06	EBB1102	EBB1102	same
IFDOLT14	AOS06	EBB1102	EBB1102	same
IFDOLT15	AOS06	UZ72469	UZ72469	same
IFDOLT16	AOS06	EBB1102	EBB1102	same
IFDOLT17	AOS06	EBB1102	EBB1102	same
IFDOLT18	AOS06	EBB1102	EBB1102	same
IFDOLT21	AOS06	EBB1102	EBB1102	same
IFDOLT22	AOS06	UZ50293	EBB1102	rmid-differs
IFDOLT23	AOS06	EBB1102	EBB1102	same
IFDOLT24	AOS06	EBB1102	EBB1102	same
IFDOLT26	AOS06	EBB1102	EBB1102	same
IFDOLT28	AOS06	EBB1102	EBB1102	same
IFDOLT30	AOS06	UZ64132	UZ64132	same
IFDOLT31	AOS06	EBB1102	EBB1102	same
IFDOLT32	AOS06	EBB1102	EBB1102	same
IFDOLT33	AOS06	EBB1102	EBB1102	same
IFDOLT35	AOS06	EBB1102	EBB1102	same
IFDOLT36	AOS06	UZ66225	UZ66225	same
IFDOLT37	AOS06	EBB1102	EBB1102	same
IFDOLT38	AOS06	EBB1102	EBB1102	same
IFDOLT39	AOS06	EBB1102	EBB1102	same
IFDOLT41	AOS06	EBB1102	EBB1102	same
IFDOLT42	AOS06	EBB1102	EBB1102	same
IFDOLT43	AOS06	EBB1102	EBB1102	same
IFDOLT44	AOS06	UZ25750	UZ25750	same
IFDOLT46	AOS06	UZ64446	UZ64446	same
IFDOLT48	AOS06	EBB1102	EBB1102	same
IFDOLT49	AOS06	EBB1102	EBB1102	same
IFDOLT50	AOS06	EBB1102	EBB1102	same
IFDOLT51	AOS06	EBB1102	EBB1102	same
IFDOLT52	AOS06	UZ63994	UZ63994	same
IFDOLT53	AOS06	UZ42671	UZ59401	rmid-differs
IFDOLT54	AOS06	EBB1102	EBB1102	same
IFDOLT55	AOS06	EBB1102	EBB1102	same
IFDOLT56	AOS06	EBB1102	EBB1102	same
IFDOLT57	AOS06	EBB1102	EBB1102	same
IFDOLT58	AOS06	UZ61562	UZ61562	same
IFDOLT59	AOS06	EBB1102	EBB1102	same
IFDOLT61	AOS06	EBB1102	EBB1102	same
IFDOLT62	AOS06	UZ64132	UZ64132	same
IFDOLT67	AOS06	UZ28842	UZ28842	same
IFDOLT73	AOS06	EBB1102	EBB1102	same
IFDOLT74	AOS06	EBB1102	EBB1102	same
IFDOLT98	AOS06	EBB1102	EBB1102	same
IFDOLT99	AOS06	UY17414	UZ32514	rmid-differs
IFDOLTAA	AOS06	EBB1102	EBB1102	same
IFDOLTAB	AOS06	EBB1102	EBB1102	same
IFDOLTAJ	AOS06	EBB1102	EBB1102	same
IFFAAA01	AOS07	EGS1102	EGS1102	same
IFFAAA02	AOS07	UZ60166	EGS1102	rmid-differs
IFFAAA03	AOS07	UZ60166	EGS1102	rmid-differs
IFFAAA04	AOS07	UZ60166	EGS1102	rmid-differs
IFFAAA05	AOS07	UZ90085	UZ90085	same
IFFAAA06	AOS07	UZ60166	EGS1102	rmid-differs
IFFABA	AOSG0	UZ51149	UZ57991	rmid-differs
IFFACA00	AOS07	EGS1102	EGS1102	same
IFFACA01	AOS07	EGS1102	EGS1102	same
IFFACA02	AOS07	EGS1102	EGS1102	same
IFFACA03	AOS07	EGS1102	EGS1102	same
IFFACA04	AOS07	EGS1102	EGS1102	same
IFFACA05	AOS07	EGS1102	EGS1102	same
IFFACA06	AOS07	EGS1102	EGS1102	same
IFFACA07	AOS07	EGS1102	EGS1102	same
IFFACA08	AOS07	UZ90085	UZ90085	same
IFFACA13	AOS07	EGS1102	EGS1102	same
IFFACA50	AOS07	UZ58305	UZ90085	rmid-differs
IFFADA01	AOS07	UZ31039	UZ31039	same
IFFADA02	AOS07	EGS1102	EGS1102	same
IFFADA03	AOS07	UZ66158	EGS1102	rmid-differs
IFFAEA01	AOS07	EGS1102	EGS1102	same
IFFAEA02	AOS07	EGS1102	EGS1102	same
IFFAEA03	AOS07	EGS1102	EGS1102	same
IFFAEA04	AOS07	EGS1102	EGS1102	same
IFFAEA06	AOS07	EGS1102	EGS1102	same
IFFAEA07	AOS07	UZ90085	UZ90085	same
IFFAFA01	AOS07	UZ60166	EGS1102	rmid-differs
IFFAFA02	AOS07	UZ60166	EGS1102	rmid-differs
IFFAFA03	AOS07	UZ30743	UZ30743	same
IFFAFA04	AOS07	UZ60166	EGS1102	rmid-differs
IFFAFA05	AOS07	EGS1102	EGS1102	same
IFFAFA06	AOS07	EGS1102	EGS1102	same
IFFAFA07	AOS07	EGS1102	EGS1102	same
IFFAFA08	AOS07	UZ33413	UZ33413	same
IFFAFA09	AOS07	UZ33413	UZ33413	same
IFFAFA11	AOS07	UZ52798	UZ52798	same
IFFAFA12	AOS07	UZ60166	EGS1102	rmid-differs
IFFAFA13	AOS07	UZ60166	EGS1102	rmid-differs
IFFAFA14	AOS07	EGS1102	EGS1102	same
IFFAFA15	AOS07	UZ63726	UZ34382	rmid-differs
IFFAFA19	AOS07	EGS1102	EGS1102	same
IFFAGA01	AOS07	UZ30890	UZ30890	same
IFFAGA02	AOS07	EGS1102	EGS1102	same
IFFAGA03	AOS07	EGS1102	EGS1102	same
IFFAGA04	AOS07	UZ69351	EGS1102	rmid-differs
IFFAGA05	AOS07	EGS1102	EGS1102	same
IFFAGA06	AOS07	UZ60166	EGS1102	rmid-differs
IFFAGA07	AOS07	UZ59511	UZ35264	rmid-differs
IFFAGA08	AOS07	EGS1102	EGS1102	same
IFFAHA01	AOS07	EGS1102	EGS1102	same
IFFAHA02	AOS07	EGS1102	EGS1102	same
IFFAHA03	AOS07	EGS1102	EGS1102	same
IFFAHA04	AOS07	EGS1102	EGS1102	same
IFFAHA05	AOS07	UZ60166	UZ90085	rmid-differs
IFFAHA06	AOS07	EGS1102	EGS1102	same
IFFAHA07	AOS07	EGS1102	EGS1102	same
IFFAHA11	AOS07	UZ90085	UZ90085	same
IFFAHA12	AOS07	UZ90085	UZ90085	same
IFFAHA13	AOS07	UZ23081	UZ23081	same
IFFAHA16	AOS07	UZ28975	UZ28975	same
IFFAJA01	AOS07	EGS1102	EGS1102	same
IFFAJA02	AOS07	UZ60166	EGS1102	rmid-differs
IFFAJA04	AOS07	UZ90085	UZ90085	same
IFFANA	AOSG0	EGA1102	EGA1102	same
IFFCAN01	AOSG0	UZ51149	UZ31164	rmid-differs
IFFCAN02	AOSG0	UZ52993	UZ52993	same
IFFCAN03	AOSG0	EGA1102	EGA1102	same
IFFPAAST	AOSG0	EGA1102	EGA1102	same
IFFPBAPR	AOSG0	EGA1102	EGA1102	same
IFFPCAAR	AOSG0	EGA1102	EGA1102	same
IFFPDAPL	AOSG0	EGA1102	EGA1102	same
IFFPEAGR	AOSG0	EGA1102	EGA1102	same
IFFPFAVA	AOSG0	EGA1102	EGA1102	same
IFFPGAVP	AOSG0	EGA1102	EGA1102	same
IFFPHALA	AOSG0	EGA1102	EGA1102	same
IFFPIAPG	AOSG0	EGA1102	EGA1102	same
IFFPJAPV	AOSG0	EGA1102	EGA1102	same
IFFPKADG	AOSG0	EGA1102	EGA1102	same
IFFPLARE	AOSG0	EGA1102	EGA1102	same
IFFPPASG	AOSG0	EGA1102	EGA1102	same
IFG0190P	AOSD0	UZ70047	UZ29538	rmid-differs
IFG0191X	AOSA0	UZ27348	UZ27348	same
IFG0191Y	AOSA0	UZ45726	UZ36690	rmid-differs
IFG0192A	AOSA0	UZ35370	UZ35370	same
IFG0193A	AOSD0	UZ77778	UZ52128	rmid-differs
IFG0193C	AOSD0	EDM1102	EDM1102	same
IFG0193D	AOSD0	UZ70257	EDM1102	rmid-differs
IFG0193E	AOSD0	UZ35369	UZ35369	same
IFG0194A	AOSD0	UZ79449	UZ52633	rmid-differs
IFG0194C	AOSD0	UZ74083	UZ52633	rmid-differs
IFG0194F	AOSD0	UZ84450	UZ51904	rmid-differs
IFG0194J	AOSD0	UZ75999	UZ56066	rmid-differs
IFG0195A	AOSD0	UZ32436	UZ32436	same
IFG0195B	AOSD0	UZ66341	UZ33839	rmid-differs
IFG0195C	AOSD0	EDM1102	EDM1102	same
IFG0195D	AOSD0	EDM1102	EDM1102	same
IFG0195G	AOSD0	EDM1102	EDM1102	same
IFG0195H	AOSD0	UZ61367	UZ37061	rmid-differs
IFG0195J	AOSD0	EDM1102	EDM1102	same
IFG0195K	AOSD0	UZ78286	UZ31855	rmid-differs
IFG0195N	AOSD0	EDM1102	EDM1102	same
IFG0195T	AOSD0	EDM1102	EDM1102	same
IFG0195U	AOSD0	UZ57919	EDM1102	rmid-differs
IFG0195V	AOSD0	UZ61367	UZ28419	rmid-differs
IFG0196J	AOSD0	EDM1102	EDM1102	same
IFG0196K	AOSD0	EDM1102	EDM1102	same
IFG0196L	AOSD0	UZ70047	UZ53511	rmid-differs
IFG0196M	AOSD0	EDM1102	EDM1102	same
IFG0196N	AOSD0	UY07083	UZ32594	rmid-differs
IFG0196O	AOSD0	UZ30343	UZ30343	same
IFG0196Q	AOSD0	EDM1102	EDM1102	same
IFG0196T	AOSD0	UZ77545	UZ51594	rmid-differs
IFG0196U	AOSD0	UZ26566	UZ26566	same
IFG0196V	AOSD0	EDM1102	EDM1102	same
IFG0196W	AOSD0	UZ55132	UZ55132	same
IFG0196X	AOSD0	UZ62155	UZ55132	rmid-differs
IFG0198N	AOSD0	UZ63846	UZ56908	rmid-differs
IFG0199B	AOSD0	UZ73857	UZ57521	rmid-differs
IFG0199D	AOSD0	UZ74789	UZ53693	rmid-differs
IFG0199E	AOSD0	UZ76065	UZ29103	rmid-differs
IFG0199I	AOSD0	UZ67660		only-TK5
IFG019RA	AOSD0	UZ67976	UZ90094	rmid-differs
IFG019TR	AOSD0	UZ26307	UZ26307	same
IFG0200N	AOSA0	UZ38421	UZ34190	rmid-differs
IFG0200P	AOSD0	EDM1102	EDM1102	same
IFG0200V	AOSD0	UZ61253	UZ52294	rmid-differs
IFG0200W	AOSD0	UZ61367	UZ24852	rmid-differs
IFG0200Y	AOSD0	UZ60593	UZ56648	rmid-differs
IFG0200Z	AOSD0	UZ60594	UZ53479	rmid-differs
IFG0201R	AOSD0	EDM1102	EDM1102	same
IFG0202A	AOSD0	EDM1102	EDM1102	same
IFG0202B	AOSD0	EDM1102	EDM1102	same
IFG0202C	AOSD0	UZ57969	UZ57969	same
IFG0202D	AOSD0	EDM1102	EDM1102	same
IFG0202E	AOSD0	UZ65280	UZ56648	rmid-differs
IFG0202F	AOSD0	UZ77744	EDM1102	rmid-differs
IFG0202H	AOSD0	UZ62424	UZ37663	rmid-differs
IFG0202I	AOSD0	UZ62424	UZ56249	rmid-differs
IFG0202J	AOSD0	UZ90056	UZ90056	same
IFG0202K	AOSD0	UZ61367	UZ52962	rmid-differs
IFG0202L	AOSD0	UZ34152	UZ34152	same
IFG0230P	AOSD0	EDM1102	EDM1102	same
IFG0232D	AOSD0	UZ61367	EDM1102	rmid-differs
IFG0232G	AOSD0	UY03022	UZ54762	rmid-differs
IFG0232J	AOSD0	EDM1102	EDM1102	same
IFG0232M	AOSD0	EDM1102	EDM1102	same
IFG0232S	AOSD0	UZ54379	UZ54379	same
IFG0232Z	AOSD0	UZ64650	UZ28431	rmid-differs
IFG0550P	AOSD0	UZ45363	EDM1102	rmid-differs
IFG0551B	AOSD0	UZ61367	UZ57462	rmid-differs
IFG0551D	AOSD0	UZ61367	UZ28432	rmid-differs
IFG0551F	AOSD0	UZ61367	UZ54431	rmid-differs
IFG0551H	AOSD0	EDM1102	EDM1102	same
IFG0551L	AOSD0	UZ73978	UZ54268	rmid-differs
IFG0551P	AOSD0	UZ27893	UZ27893	same
IFG0551R	AOSD0	UZ60594	UZ56339	rmid-differs
IFG0551T	AOSD0	UZ64583	UZ22277	rmid-differs
IFG0552B	AOSD0	UZ32787	UZ32787	same
IFG0552D	AOSD0	UZ51594	UZ51594	same
IFG0552F	AOSD0	UZ60594	UZ32570	rmid-differs
IFG0552N	AOSD0	EDM1102	EDM1102	same
IFG0552R	AOSD0	UZ60767	UZ57238	rmid-differs
IFG0552T	AOSD0	EDM1102	EDM1102	same
IFG0552V	AOSD0	EDM1102	EDM1102	same
IFG0552X	AOSD0	UZ64292	UZ53310	rmid-differs
IFG0553C	AOSD0	EDM1102	EDM1102	same
IFG0553F	AOSD0	UZ45363	UZ53371	rmid-differs
IFG0553H	AOSD0	EDM1102	EDM1102	same
IFG0553P	AOSD0	UZ61367	UZ90005	rmid-differs
IFG0553X	AOSD0	UZ61367	UZ28413	rmid-differs
IFG0553Z	AOSD0	UZ61367	EDM1102	rmid-differs
IFG0554B	AOSD0	UZ61367	EDM1102	rmid-differs
IFG0554L	AOSD0	EDM1102	EDM1102	same
IFG0554N	AOSD0	UZ69799	UZ28432	rmid-differs
IFG0554P	AOSD0	UZ51971	UZ51971	same
IFG0554T	AOSD0	UZ60424	UZ30595	rmid-differs
IFG0554Z	AOSD0	EDM1102	EDM1102	same
IFG0555B	AOSD0	EDM1102	EDM1102	same
IFG0555H	AOSD0	UZ90005	UZ90005	same
IFG0555J	AOSD0	EDM1102	EDM1102	same
IFG0558X	AOSD0	EDM1102	EDM1102	same
IFG0559C	AOSD0	EDM1102	EDM1102	same
IFG0EX0A	AOSD0	EDM1102	EDM1102	same
IFG0RR0A	AOSD0	UZ55965	UZ55965	same
IFG0RR0B	AOSD0	UZ77448	UZ37745	rmid-differs
IFG0RR0E	AOSD0	UZ66795	UZ21424	rmid-differs
IFG0RR0F	AOSD0	EDM1102	EDM1102	same
IFG0TC0A	AOSD0	UZ79340	UZ53681	rmid-differs
IFHSTATR	AOSU0	EUT1102	EUT1102	same
IFNX1A	AOS03	UZ42140	UZ35490	rmid-differs
IFNX1J	AOS03	EAS1102	EAS1102	same
IFNX1K	AOS03	UZ52227	UZ52227	same
IFNX1S	AOS03	EAS1102	EAS1102	same
IFNX2A	AOS03	UY77102	UZ36111	rmid-differs
IFNX3A	AOS03	UZ71064	EAS1102	rmid-differs
IFNX3B	AOS03	UZ71064	EAS1102	rmid-differs
IFNX3K	AOS03	UZ52227	UZ52227	same
IFNX3N	AOS03	UZ73741	EAS1102	rmid-differs
IFNX4D	AOS03	UZ81148	EAS1102	rmid-differs
IFNX4E	AOS03	UZ81148	EAS1102	rmid-differs
IFNX4M	AOS03	UZ81148	UZ31800	rmid-differs
IFNX4N	AOS03	UZ81148	EAS1102	rmid-differs
IFNX4S	AOS03	UZ81148	EAS1102	rmid-differs
IFNX4T	AOS03	UZ81148	UZ31801	rmid-differs
IFNX4V	AOS03	UZ81148	EAS1102	rmid-differs
IFNX5A	AOS03	EAS1102	EAS1102	same
IFNX5C	AOS03	EAS1102	EAS1102	same
IFNX5D	AOS03	UZ49959	UZ36471	rmid-differs
IFNX5F	AOS03	EAS1102	EAS1102	same
IFNX5L	AOS03	UZ73839	EAS1102	rmid-differs
IFNX5M	AOS03	UZ52227	UZ52227	same
IFNX5P	AOS03	UZ80273	UZ34598	rmid-differs
IFNX5V	AOS03	EAS1102	EAS1102	same
IFNX6A	AOS03	UZ57526	UZ35791	rmid-differs
IFNX6B	AOS03	UZ36971	UZ36971	same
IFNX6C	AOS03	EAS1102	EAS1102	same
IFOX0A	AOS03	UZ34601	UZ34601	same
IFOX0B	AOS03	EAS1102	EAS1102	same
IFOX0C	AOS03	UZ57269	EAS1102	rmid-differs
IFOX0D	AOS03	UZ57269	UZ23668	rmid-differs
IFOX0E	AOS03	EAS1102	EAS1102	same
IFOX0F	AOS03	UZ32460	UZ32460	same
IFOX0G	AOS03	EAS1102	EAS1102	same
IFOX0H	AOS03	UZ58330	EAS1102	rmid-differs
IFOX0I	AOS03	UZ32461	UZ32461	same
IFOX0J	AOS03	EAS1102	EAS1102	same
IGARPT01	AOSC5	EBB1102	EBB1102	same
IGC0001F	ALPALIB	UZ72214	UZ72214	same
IGC0001G	ALPALIB	EBB1102	EBB1102	same
IGC0001I	AOSD0	UZ70047	UZ90094	rmid-differs
IGC00020	AOSD0	UZ65904	UZ52294	rmid-differs
IGC0002A	AOSD0	UZ90061	UZ90061	same
IGC0002B	AOSD0	UZ38478	UZ28405	rmid-differs
IGC0002C	AOSD0	UZ61367	UZ27984	rmid-differs
IGC0002D	AOSD0	UZ73568	UZ55548	rmid-differs
IGC0002E	AOSD0	UZ61346	UZ37211	rmid-differs
IGC0002F	AOSD0	UZ77659	UZ55818	rmid-differs
IGC0002G	AOSD0	UZ66793	UZ51611	rmid-differs
IGC0002I	AOSD0	UZ84553	UZ55994	rmid-differs
IGC00030	AOSD0	UZ34313	UZ34313	same
IGC0003A	AOSD0	UZ65038	UZ55906	rmid-differs
IGC0003B	AOSD0	UZ53241	UZ53241	same
IGC0003C	ALPALIB	UZ58603	UZ58603	same
IGC0003I	AOSU0	EUT1102	EUT1102	same
IGC0005C	AOSD7	UZ30518	UZ30518	same
IGC0005D	AOSD8	UZ24449	UZ24449	same
IGC0005E	AOSD0	UZ67354	UZ55906	rmid-differs
IGC0005G	AOSD7	UZ23609	UZ23609	same
IGC0005I	AOS06	UZ39942	UZ39942	same
IGC0006A	ACMDLIB	UY03099	UZ78104	rmid-differs
IGC0006D	AOSD0	UZ61367	UZ28419	rmid-differs
IGC0006F	AOS20	UZ29578	UZ29578	same
IGC0006H	AOSD0	EDM1102	EDM1102	same
IGC0006I	AOSD0	UZ67535	UZ35213	rmid-differs
IGC0007A	AOSG0	UZ70235	UZ56893	rmid-differs
IGC0007C	AOSG0	UZ60117	UZ31164	rmid-differs
IGC0007D	AOSG0	UZ31164	UZ31164	same
IGC0007E	AOSG0	UZ35659	UZ35659	same
IGC0007H	AOSD0	UZ66793	EDM1102	rmid-differs
IGC0008A	AOSD0	UZ46194	UZ37464	rmid-differs
IGC0008B	AOSU0	UZ34594	UZ34594	same
IGC0008E	AOSCE	EBB1102	EBB1102	same
IGC0008F	AOSU0	UZ33208	UZ33208	same
IGC0008H	AOSC5	UZ60084	UZ60084	same
IGC0009A	ALPALIB	UZ71903	UZ71903	same
IGC0009C	AOST3	UZ56850	UZ56850	same
IGC0009D	AOST3	UZ79918	ETI1106	rmid-differs
IGC0009G	ACMDLIB	UY29952	UZ78104	rmid-differs
IGC0009H	AOSD0	UZ69430	UZ35595	rmid-differs
IGC0010C	AOSD0	UZ54016	UZ54016	same
IGC0010D	AOS21	UZ31811	UZ31811	same
IGC0010E	AOSD0	UZ61376	UZ34904	rmid-differs
IGC0012F	AOSD0	UY06637	UZ54214	rmid-differs
IGC0102G	AOSD0	UZ55903	UZ55903	same
IGC0106F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0106H	AOSD0	UZ71628	UZ90039	rmid-differs
IGC0107C	AOSG0	EGA1102	EGA1102	same
IGC0107D	AOSG0	EGA1102	EGA1102	same
IGC0107H	AOSD0	UZ66793	UZ56074	rmid-differs
IGC0108B	AOSU0	UZ24995	UZ24995	same
IGC0109H	AOSD0	UZ32133	UZ32133	same
IGC0110D	AOS21	UZ27745	UZ27745	same
IGC0112F	AOSD0	UZ56085	UZ56085	same
IGC018	AOSD0	UZ39100	UZ56062	rmid-differs
IGC0203E	AOSB3	UY13810	UZ66596	rmid-differs
IGC0206F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0206H	AOSD0	EDM1102	EDM1102	same
IGC0207A	AOSG0	EGA1102	EGA1102	same
IGC0208B	AOSU0	UZ26891	UZ26891	same
IGC0209H	AOSD0	UZ59657	UZ31625	rmid-differs
IGC0210D	AOS21	UZ27745	UZ27745	same
IGC0306F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0306H	AOSD0	EDM1102	EDM1102	same
IGC0308B	AOSU0	EDS1102	EDS1102	same
IGC0310D	AOS21	UZ29740	UZ29740	same
IGC0406F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0406H	AOSD0	UZ57182	EDM1102	rmid-differs
IGC0408B	AOSU0	EMS1102	EMS1102	same
IGC0410D	AOS21	UZ27745	UZ27745	same
IGC0505I	AOS06	UZ62236	UZ62236	same
IGC0506C	AOSC6	UZ30520	UZ30520	same
IGC0506F	AOS20	UZ25095	UZ25095	same
IGC0506H	AOSD0	EDM1102	EDM1102	same
IGC0508B	AOSU0	UZ24304	UZ24304	same
IGC0510D	AOS21	UZ29740	UZ29740	same
IGC058	AOS20	UZ25090	UZ25090	same
IGC0606F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0606H	AOSD0	EDM1102	EDM1102	same
IGC0610D	AOS21	UZ34340	UZ34340	same
IGC070	AOSG0	UZ31164	UZ31164	same
IGC0706F	AOS20	UY15787	EBT1102	rmid-differs
IGC0706H	AOSD0	UZ27678	UZ27678	same
IGC0710D	AOS21	UZ30024	UZ30024	same
IGC0806F	AOS20	UY15787	EBT1102	rmid-differs
IGC0806H	AOSD0	UZ90039	UZ90039	same
IGC0810D	AOS21	UZ27745	UZ27745	same
IGC084	AOSG0	UZ31164	UZ31164	same
IGC0905I	AOS06	UZ61670	UZ61670	same
IGC0906F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0906H	AOSD0	UZ63727	EDM1102	rmid-differs
IGC0910D	AOS21	UZ27745	UZ27745	same
IGC0A06F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0A10D	AOS21	UZ55744	UZ55744	same
IGC0B06F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0B10D	AOS21	UZ31475	UZ31475	same
IGC0C06F	AOS20	UZ77326	EBT1102	rmid-differs
IGC0C10D	AOS21	UZ29740	UZ29740	same
IGC0D06F	AOS20	UY15787	UZ25095	rmid-differs
IGC0D10D	AOS21	UZ27745	UZ27745	same
IGC0E05A	AOS21	UZ34694	UZ34694	same
IGC0E06F	AOS20	UY15787	UZ25095	rmid-differs
IGC0E10D	AOS21	UZ30261	UZ30261	same
IGC0F05A	AOS11	UZ67485	UZ67485	same
IGC0F06F	AOS20	UY15787	UZ25095	rmid-differs
IGC0G05B	AOSC6	EDM1102	EDM1102	same
IGC0G10D	AOS21	UZ27745	UZ27745	same
IGC0G95B	AOSC6	EDM1102	EDM1102	same
IGC0H05B	AOSC6	EDM1102	EDM1102	same
IGC0H10D	AOS21	UZ27745	UZ27745	same
IGC0I05B	AOSC6	EDM1102	EDM1102	same
IGC0I10D	AOS21	ETC0108	ETC0108	same
IGC0J05B	AOS21	ETC0108	ETC0108	same
IGC0J10D	AOS21	ETC0108	ETC0108	same
IGC0K05B	AOSC6	UZ66648	UZ32940	rmid-differs
IGC0K10D	AOS21	UZ27745	UZ27745	same
IGC0L05B	AOSC6	UZ66691	UZ24473	rmid-differs
IGC0L10D	AOS21	UZ27745	UZ27745	same
IGC0M05B	AOSC6	UZ33634	UZ33634	same
IGC0N05B	AOSC6	UZ66717	EDM1102	rmid-differs
IGC0N06C	AOSC6	EDM1102	EDM1102	same
IGC0N10D	AOS21	UZ27745	UZ27745	same
IGC0P05B	AOSC6	EDM1102	EDM1102	same
IGC0Q05B	AOSC6	EDM1102	EDM1102	same
IGC0R05B	AOSC6	UZ77806	UZ25848	rmid-differs
IGC0S05B	AOSC6	UZ63538	UZ57728	rmid-differs
IGC0T05B	AOSC6	UZ66717	EDM1102	rmid-differs
IGC0U05B	AOSC6	EDM1102	EDM1102	same
IGC0W05B	AOSC6	EDM1102	EDM1102	same
IGC1006F	AOS20	UY15787	UZ25095	rmid-differs
IGC1106F	AOS20	UY15787	UZ25095	rmid-differs
IGC111	AOSB3	UZ31487	UZ31487	same
IGC1206F	AOS20	UZ25095	UZ25095	same
IGC121	AOSC5	UZ76579	UZ54657	rmid-differs
IGC1306F	AOS20	UY15787	UZ25095	rmid-differs
IGC1406F	AOS20	UY15787	UZ25095	rmid-differs
IGCA010D	AOS21	UZ27618	UZ27618	same
IGCA110D	AOS21	UZ24879	UZ24879	same
IGCA210D	AOS21	UZ27618	UZ27618	same
IGCA310D	AOS21	UZ27618	UZ27618	same
IGCA410D	AOS21	UZ27618	UZ27618	same
IGCA510D	AOS21	UZ34384	UZ34384	same
IGCA610D	AOS21	UZ27618	UZ27618	same
IGCA710D	AOS21	UZ27618	UZ27618	same
IGCA810D	AOS21	UZ27618	UZ27618	same
IGCA910D	AOS21	UZ27618	UZ27618	same
IGCAA10D	AOS21	UZ27618	UZ27618	same
IGCAB10D	AOS21	UZ27618	UZ27618	same
IGCAC10D	AOS21	UZ27618	UZ27618	same
IGCAD10D	AOS21	UZ27618	UZ27618	same
IGCAE10D	AOS21	UZ27618	UZ27618	same
IGCAF10D	AOS21	UZ27618	UZ27618	same
IGCAG10D	AOS21	UZ27618	UZ27618	same
IGCAL10D	AOS21	UZ34384	UZ34384	same
IGCAT10D	AOS21	UZ27618	UZ27618	same
IGCC010D	AOS21	UZ30182	UZ30182	same
IGCC110D	AOS21	UZ31756	UZ31756	same
IGCD010D	AOS21	UZ35015	UZ35015	same
IGCD110D	AOS21	UZ33869	UZ33869	same
IGCD210D	AOS21	UZ36050	UZ36050	same
IGCD310D	AOS21	UZ53344	UZ53344	same
IGCD410D	AOS21	UZ34028	UZ34028	same
IGCD510D	AOS21	UZ27621	UZ27621	same
IGCD610D	AOS21	UZ34000	UZ34000	same
IGCD710D	AOS21	UZ27621	UZ27621	same
IGCD810D	AOS21	UZ27621	UZ27621	same
IGCD910D	AOS21	UZ27621	UZ27621	same
IGCDB10D	AOS21	UZ27621	UZ27621	same
IGCDC10D	AOS21	UZ27621	UZ27621	same
IGCDD10D	AOS21	UZ27621	UZ27621	same
IGCDL10D	AOS21	UZ33997	UZ33997	same
IGCDM10D	AOS21	UZ27621	UZ27621	same
IGCFA10D	AOS21	UZ56668	UZ56668	same
IGCFB10D	AOS21	UZ31475	UZ31475	same
IGCFC10D	AOS21	UZ34384	UZ34384	same
IGCFD10D	AOS21	UZ27635	UZ27635	same
IGCFE10D	AOS21	UZ56668	UZ56668	same
IGCFF10D	AOS21	UZ34799	UZ34799	same
IGCFG10D	AOS21	UZ27635	UZ27635	same
IGCFH10D	AOS21	UZ27635	UZ27635	same
IGCFI10D	AOS21	UZ34032	UZ34032	same
IGCFJ10D	AOS21	UZ56668	UZ56668	same
