module	anchor	seclocate	source
IKTIMIDS	0x3E		anchor
IKTIOFRR	0x0		anchor
IKTLOGFF	0x1C		anchor
IKTLOGR	0x1C		anchor
IKTLTERM	0x1E		anchor
IKTMSGS	0x28	0x0	both
IKTOMIDS	0x14A	0x12	both
IKTOMLU2	0x6A		anchor
IKTQMIN	0x342	0x0	both
IKTTIMRT	0x16	0x18	both
IKTTOMJR	0x0		anchor
IKTTOMRT	0x7A		anchor
IKTVTGET	0x0		anchor
IKTVTPUT	0x3A		anchor
IKTXINIT	0x1C	0xF	both
IKTXLOG	0x0		anchor
IKTXMTPT	0x1E		anchor
ILRASM00		0x0	seclocate
ILRFMT00	0x0	0x0	both
ILRFMTCV	0x78	0x0	both
ILRFMTPG	0x0	0xE	both
ILRFMTSW	0x0	0xE	both
ILROPS00		0x0	seclocate
ILRPGEXP	0x15A		anchor
ILRRLG	0x0	0x0	both
ILRSAV	0x0	0x0	both
ILRTMI00	0x1CC	0x3B8	both
ILRTMI01	0x0		anchor
ILRVSAMI	0x0		anchor
IOEDKMSG	0x1C	0x0	both
IOEDKOPN	0x20	0x12	both
IOEDKRDR	0x0	0x3	both
IOEDKWTR	0x56		anchor
IOESDKTO	0x98		anchor
IRARMERR		0x84D	seclocate
IRARMSRV		0x0	seclocate
IRARMWAR	0xF2	0x354	both
IRBMFDTA	0x1C	0x6A	both
IRBMFECH	0xC8	0x7C	both
IRBMFIHA	0x1C	0x610	both
IRBMFINP	0x2E2	0x324	both
IRBMFIOI	0x1C	0x6A	both
IRBMFRGM	0x1C	0xE4	both
IRBMFSAR	0x16	0x1FA	both
IRBMFTRM	0x1C	0x84	both
ISDAAPR0		0xE	seclocate
ISDACNFG	0x0		anchor
ISDACSB0		0xD	seclocate
ISDAHEXP	0x0	0xD	both
ISDAOPT0	0x14	0x2AA	both
ISDAPAD1	0x212	0x800	both
ISDAPARM	0x0		anchor
ISDASDA0	0x0		anchor
ISDASUM2	0x0		anchor
ISTAICIR	0x36	0x0	both
ISTAICPT	0x3C	0xD4	both
ISTAICTN	0x20C	0x18B	both
ISTAPC11	0x1C		anchor
ISTAPC23	0x1A4	0x10	both
ISTAPC31	0x182	0x192	both
ISTAPC32	0x18	0xA1	both
ISTAPC35	0xA	0x2	both
ISTAPC36	0xA	0x2	both
ISTAPC51	0x19C	0x174	both
ISTAPC52	0x3C	0x140	both
ISTAPC54	0x0		anchor
ISTAPC57	0xDA	0xC6	both
ISTAPC61	0x18		anchor
ISTAPC62	0x172		anchor
ISTAPC66	0x112		anchor
ISTAPC83	0x16		anchor
ISTAPC84	0x66	0x49	both
ISTATM00	0x1E	0x36	both
ISTATM10	0x36		anchor
ISTCFCR1	0xB4		anchor
ISTCFCS1	0xC6	0xF	both
ISTCFCS2	0x406		anchor
ISTCFMTM	0x10C	0x11	both
ISTCSCAC	0xAA	0x88	both
ISTCSCAQ	0xFA	0xF	both
ISTCSCLG	0xCA	0x0	both
ISTCSCMR		0x1A	seclocate
ISTCSCRL	0x74	0x12	both
ISTDCC00	0x12C	0x10	both
ISTDCC02	0x8C	0x12	both
ISTDCC11	0x184	0x751	both
ISTDCC21	0x72	0x34A	both
ISTDCC25	0x1EA	0x0	both
ISTDCC35	0x5C	0x153	both
ISTDCC40	0xE8	0x12	both
ISTDCC50	0x3FE	0x9C0	both
ISTDCC51	0x140	0x12	both
ISTDCC61	0x1DA	0x192	both
ISTDCC80	0xBC	0xCD	both
ISTDCC81	0x66		anchor
ISTIC000		0x5CF	seclocate
ISTIC002	0x94	0x5A	both
ISTIC006	0x20	0x12	both
ISTIC008	0x20	0x12	both
ISTIC00A	0x20	0x12	both
ISTINC05	0x1C		anchor
ISTINCCL	0xE8		anchor
ISTINCD2	0x136	0x0	both
ISTINCD4	0xC0	0xBF	both
ISTINCD5	0xDE	0xAD	both
ISTINCDP	0x1C		anchor
ISTINCE8	0xB0		anchor
ISTINCFS	0x2DC	0x369	both
ISTINCIO	0x110		anchor
ISTINCL1	0x130	0x127	both
ISTINCL3	0xE6	0x8E	both
ISTINCMS	0x4A8		anchor
ISTINCMY	0x428		anchor
ISTINCNS	0x20	0xF	both
ISTINCOQ	0x12A		anchor
ISTINCPH	0x1B0	0xF	both
ISTINCQE	0x1C		anchor
ISTINCR4	0x82		anchor
ISTINCR6	0x1C		anchor
ISTINCRD	0x20		anchor
ISTINCRP	0x1C		anchor
ISTINCST	0x26		anchor
ISTINCTR	0x1C		anchor
ISTINCUM	0x10C	0x12	both
ISTINCVA	0xAC		anchor
ISTINCVI	0x60		anchor
ISTINCVO	0x180		anchor
ISTINCVP	0xDC		anchor
ISTINCX1	0xAA	0x0	both
ISTINCX8	0x19E	0x12	both
ISTINCXR	0xD4	0x12	both
ISTINCY0	0xE0		anchor
ISTINCY5	0x1B8	0x1FC	both
ISTINFIC	0x1C	0x12	both
ISTINFXI	0x24		anchor
ISTINM01	0x1C		anchor
ISTNMC3S	0x5A		anchor
ISTNMC7S	0x72		anchor
ISTOCCCB	0x6A	0xF	both
ISTOCCCC	0x102	0x12	both
ISTOCCCH	0x16	0x23	both
ISTOCCCL	0xD8		anchor
ISTOCCFB	0x7A		anchor
ISTOCCFR	0x162		anchor
ISTOCCOB		0xF	seclocate
ISTOCCOD	0xE4	0xA0F	both
ISTOCCOE	0x1D4		anchor
ISTOCCRT	0xA6		anchor
ISTOCMDC	0x46	0x12	both
ISTORFBD	0x62	0x5D	both
ISTORFPR	0x46	0x0	both
ISTORMMG	0x1A6	0x22	both
ISTRACTL	0x86		anchor
ISTRAFD1	0x112		anchor
ISTRAFTP	0x120		anchor
ISTRAMA1	0x1C		anchor
ISTRAMA2	0xCE		anchor
ISTRAMA3	0x50		anchor
ISTRAMA4	0x16		anchor
ISTRCC30	0x11A	0x143	both
ISTRCC51	0x1F8	0x14	both
ISTRCC52	0x76	0x14	both
ISTSC029	0x60	0xC9	both
ISTSC030	0xC4		anchor
ISTSC032	0x118	0x12	both
ISTSC034	0x18	0x10	both
ISTSDCAP	0xD4		anchor
ISTSDCBU	0x52		anchor
ISTSDCC2	0xA8		anchor
ISTSDCCB	0x4A	0x37	both
ISTSDCCL	0x13E	0x501	both
ISTSDCGE	0x40	0x2D	both
ISTSDCGP	0x50		anchor
ISTSDCHS	0x4C	0x4F	both
ISTSDCLM	0xC6	0x99	both
ISTSDCLN	0x1B0		anchor
ISTSDCLU	0x11A	0x12	both
ISTSDCML	0x1E4	0xF	both
ISTSDCMT	0xCA	0xF	both
ISTSDCP4	0x90	0xF	both
ISTSDCPU	0x54	0x4A	both
ISTSDCRN	0xCC		anchor
ISTSDCRS	0x50	0x12	both
ISTSDCSS	0xB6		anchor
ISTSDCVB	0x1C	0xF	both
ISTSEC10	0x5B8	0x14	both
ISTSQC00	0x6E		anchor
ISTSQC0B	0x78		anchor
ISTSTC00	0x294		anchor
ISTTC035	0xF6	0x179	both
ISTZBF0A	0x6A	0x50	both
ISTZBFBA	0x8A	0x79	both
ISTZBFBB	0x17C	0x13	both
ISTZBFFA	0xA2	0x162	both
ISTZBFFB	0x184	0x1EF	both
ISTZBFIF	0x68	0x12	both
ISTZBFOB	0x134	0x11F	both
ISTZBFSC	0x2EE	0x12	both
ISTZBFY0	0xA8	0x10	both
ISTZBFZ0	0x188	0x1FE	both
ISTZBM0K	0x68	0x14	both
ISTZCF1A	0x19A	0x12	both
ISTZCFBI	0xC2		anchor
ISTZDFC0	0xB0	0xF	both
ISTZDFD0	0x70	0x10	both
ISTZDFJ0	0x82	0xF	both
ISTZDFKB	0xDE	0x12	both
ISTZDFL0	0x48	0x48	both
ISTZDFPR	0x120	0x109	both
ISTZDMMB	0x1C		anchor
ISTZEMAB	0x72	0x54	both
ISTZEMBB	0x10A		anchor
ISTZEMTA	0x130	0xF	both
ISTZFM0A	0x16		anchor
ISTZFM1B	0x29E	0x12	both
ISTZFM3B	0x2AA	0xF	both
ISTZFMEB	0x1B4	0x154	both
ISTZGF0A	0xCE	0x13A	both
ISTZGFBB	0x5A	0x4F	both
ISTZIF0B	0x120		anchor
ISTZIF1B	0x3FC		anchor
ISTZIFAB	0x5A	0x12	both
ISTZIFBB	0x17C	0x1A3	both
ISTZIFCB	0x52	0x174	both
ISTZIFDB	0x48	0x43	both
ISTZIFKB	0x60		anchor
ISTZIFLB	0x5A	0x4C	both
ISTZIFMB	0x186		anchor
ISTZIFNB	0x7E	0xF	both
ISTZIFSG	0x1A6		anchor
ISTZIFWB	0x28	0x12	both
ISTZKFBN	0xCE	0x69	both
ISTZRM01	0x20C	0x2C	both
READPSWD	0x15E	0x0	both
SECLOADA	0x16A	0x0	both
USRDDT00		0x0	seclocate
UTRKCALC	0x19C		anchor
