module	anchor	seclocate	source
IEFVH1	0x110		anchor
IEFVHA	0x8		anchor
IEFVHC	0x8		anchor
IEFVHCB	0x8	0x1C	both
IEFVHE	0x8		anchor
IEFVHEB	0xC	0x23	both
IEFVHF	0x8		anchor
IEFVHH	0x8		anchor
IEFVHL	0x8		anchor
IEFVHM	0x8		anchor
IEFVHQ	0xC		anchor
IEFVHR	0xC		anchor
IEFVINA	0xC		anchor
IEFVINB	0xC		anchor
IEFVINC	0x6	0xFC	both
IEFVIND	0xC		anchor
IEFVJA	0x8	0x1C	both
IEFXB500	0xBC		anchor
IEFXB601	0x152	0xF	both
IEFXB609	0x0		anchor
IEHATLAS	0x80	0x3	both
IEHDANAL		0x20	seclocate
IEHDCONS	0x2A2	0x242	both
IEHDDOIO		0x37C	seclocate
