module	dlib	verdict	sections	diff_bytes	length_differs	diff_in_holes	diff_in_text
HEWLFENT	AOS04	differs	1	0	Y	0	0
HEWLFESD	AOS04	differs	1	0	Y	0	0
HEWLFFNL	AOS04	differs	1	0	Y	0	0
HEWLFIDR	AOS04	differs	1	0	Y	0	0
HEWLFINC	AOS04	differs	1	0	Y	0	0
HEWLFINP	AOS04	differs	1	0	Y	0	0
HEWLFINT	AOS04	differs	1	0	Y	0	0
HEWLFMAP	AOS04	differs	1	0	Y	0	0
HEWLFOPT	AOS04	differs	1	0	Y	0	0
HEWLFOUT	AOS04	differs	1	0	Y	0	0
HEWLFRAT	AOS04	differs	2	0	Y	0	0
HEWLFRCG	AOS04	differs	1	0	Y	0	0
HEWLFREL	AOS04	differs	1	0	Y	0	0
HEWLFROU	AOS04	differs	1	0	Y	0	0
HEWLFSCD	AOS04	differs	2	0	Y	0	0
HEWLFSYM	AOS04	differs	2	0	Y	0	0
HMASMAAR	AOS12	differs	1	315	N	0	315
HMASMADD	AOS12	identical	1	0	N	0	0
HMASMAR1	AOS12	differs	1	792	N	0	792
HMASMAR2	AOS12	differs	1	886	N	0	886
HMASMAR3	AOS12	differs	1	775	N	0	775
HMASMAR4	AOS12	identical	1	0	N	0	0
HMASMARL	AOS12	identical	1	0	N	0	0
HMASMASM	AOS12	identical	1	0	N	0	0
HMASMBUE	AOS12	differs	1	201	N	0	201
HMASMBUR	AOS12	identical	1	0	N	0	0
HMASMCIL	AOS12	identical	1	0	N	0	0
HMASMCMP	AOS12	differs	1	162	N	0	162
HMASMCOM	AOS12	identical	1	0	N	0	0
HMASMCP2	AOS12	differs	1	270	N	0	270
HMASMCPL	AOS12	differs	1	945	N	0	945
HMASMCPY	AOS12	differs	1	612	N	0	612
HMASMCRD	AOS12	differs	1	357	N	0	357
HMASMCRW	AOS12	identical	1	0	N	0	0
HMASMDC1	AOS12	differs	1	6	N	0	6
HMASMDC2	AOS12	differs	1	1792	N	359	1433
HMASMDLE	AOS12	differs	1	1115	N	4	1111
HMASMDR1	AOS12	differs	1	447	N	0	447
HMASMDR2	AOS12	differs	1	107	N	0	107
HMASMDS1	AOS12	differs	1	366	N	0	366
HMASMEFR	AOS12	differs	1	441	N	0	441
HMASMEIS	AOS12	differs	1	2331	N	28	2303
HMASMFPT	AOS12	identical	1	0	N	0	0
HMASMFVL	AOS12	differs	1	168	N	0	168
HMASMFXF	AOS12	identical	1	0	N	0	0
HMASMGTA	AOS12	identical	1	0	N	0	0
HMASMIDU	AOS12	differs	1	765	N	0	765
HMASMIO1	AOS12	differs	1	16	N	0	16
HMASMLC1	AOS12	differs	1	154	N	0	154
HMASMLCC	AOS12	differs	1	454	N	21	433
HMASMLCD	AOS12	differs	1	1232	N	0	1232
HMASMLCP	AOS12	differs	1	0	Y	0	0
HMASMLID	AOS12	differs	1	362	N	0	362
HMASMLKD	AOS12	differs	1	1195	N	0	1195
HMASMLOG	AOS12	differs	1	297	N	7	290
HMASMMDR	AOS12	differs	1	0	Y	0	0
HMASMMPA	AOS12	differs	1	0	Y	0	0
HMASMMPD	AOS12	differs	1	0	Y	0	0
HMASMMPE	AOS12	differs	1	437	N	1	436
HMASMMPH	AOS12	differs	1	0	Y	0	0
HMASMMPI	AOS12	differs	1	337	N	1	336
HMASMMPL	AOS12	differs	1	0	Y	0	0
