module	dlib	verdict	sections	diff_bytes	length_differs	diff_in_holes	diff_in_text
BLSRFIND	AOS32	differs	2	13	N	0	13
BLSRFMOD	AOS32	identical	2	0	N	0	0
BLSRFUCB	AOS32	identical	2	0	N	0	0
BLSRIOSK	AOS32	identical	2	0	N	0	0
BLSRLIST	AOS32	differs	2	7	N	3	4
BLSRLSYM	AOS32	identical	2	0	N	0	0
BLSRMSGA	AOS32	differs	1	5	N	0	5
BLSRMSGB	AOS32	identical	1	0	N	0	0
BLSRMSGD	AOS32	identical	1	0	N	0	0
BLSRPADS	AOS32	identical	1	0	N	0	0
BLSRPHAR	AOS32	identical	1	0	N	0	0
BLSRPHGE	AOS32	identical	1	0	N	0	0
BLSRRAAR	AOS32	identical	1	0	N	0	0
BLSRRACR	AOS32	differs	1	5	N	0	5
BLSRRACV	AOS32	differs	1	4	N	0	4
BLSRRAGE	AOS32	identical	1	0	N	0	0
BLSRRDAR	AOS32	identical	1	0	N	0	0
BLSRRDGE	AOS32	identical	1	0	N	0	0
BLSRRDPU	AOS32	identical	1	0	N	0	0
BLSRRNCH	AOS32	differs	2	5	N	0	5
BLSRSAAR	AOS32	identical	1	0	N	0	0
BLSRSADE	AOS32	differs	2	6	N	0	6
BLSRSAG	AOS32	identical	1	0	N	0	0
BLSRSAGC	AOS32	identical	1	0	N	0	0
BLSRSAGE	AOS32	identical	1	0	N	0	0
BLSRSAGN	AOS32	differs	1	13	N	0	13
BLSRSAGQ	AOS32	identical	1	0	N	0	0
BLSRSAGU	AOS32	identical	1	0	N	0	0
BLSRSALI	AOS32	differs	2	4	N	0	4
BLSRSAPC	AOS32	identical	1	0	N	0	0
BLSRSAPU	AOS32	identical	1	0	N	0	0
BLSRSCAN	AOS32	differs	2	15	N	0	15
BLSRSETD	AOS32	differs	2	10	N	0	10
BLSRST00	AOS32	identical	2	0	N	0	0
BLSRSUMM	AOS32	differs	2	18	N	0	18
BLSRSURB	AOS32	identical	1	0	N	0	0
BLSRSUTC	AOS32	identical	1	0	N	0	0
BLSRSYRB	AOS32	identical	1	0	N	0	0
BLSRTCBX	AOS32	differs	2	5	N	0	5
BLSRVECT	AOS32	identical	1	0	N	0	0
BLSRVPAD	AOS32	identical	1	0	N	0	0
BLSRVPAS	AOS32	differs	1	2	N	0	2
BLSRVPCP	AOS32	differs	1	20	N	16	4
BLSRVPTC	AOS32	identical	1	0	N	0	0
BLSRVPVS	AOS32	identical	1	0	N	0	0
BLSRVRBX	AOS32	differs	2	10	N	0	10
BLSRVSLD	AOS32	differs	2	0	Y	0	0
BLSSASCB	AOS32	differs	1	15	N	0	15
BLSSASMV	AOS32	differs	1	12	N	0	12
BLSSASVT	AOS32	differs	1	11	N	10	1
BLSSASXB	AOS32	differs	1	6	N	0	6
BLSSCDE	AOS32	differs	1	2	N	0	2
BLSSCOMM	AOS32	differs	1	15	N	0	15
BLSSCSD	AOS32	differs	1	7	N	0	7
BLSSCVT	AOS32	differs	1	9	N	3	6
BLSSCVT2	AOS32	identical	1	0	N	0	0
BLSSIOC	AOS32	holes	1	4	N	4	0
BLSSIOX	AOS32	differs	1	7	N	0	7
BLSSLCCA	AOS32	differs	1	3	N	1	2
BLSSLCCV	AOS32	holes	1	5	N	5	0
BLSSLLPA	AOS32	differs	1	11	N	0	11
BLSSLPDE	AOS32	differs	1	12	N	0	12
BLSSPCCA	AOS32	differs	1	11	N	0	11
BLSSPCCV	AOS32	holes	1	6	N	6	0
BLSSPFT	AOS32	differs	1	12	N	4	8
BLSSPGTE	AOS32	identical	1	0	N	0	0
BLSSPRIV	AOS32	holes	1	4	N	4	0
BLSSPSA	AOS32	identical	1	0	N	0	0
BLSSPVT	AOS32	differs	1	6	N	2	4
BLSSSGTE	AOS32	differs	1	5	N	0	5
BLSSTCB	AOS32	differs	1	7	N	0	7
BLSSUCB	AOS32	differs	1	12	N	0	12
BLSSUCM	AOS32	differs	1	10	N	3	7
BLSSXTLS	AOS32	differs	1	11	N	0	11
BLST01	AOS32	identical	1	0	N	0	0
BLST02	AOS32	identical	1	0	N	0	0
BLST03	AOS32	identical	1	0	N	0	0
BLST04	AOS32	identical	1	0	N	0	0
BLST04A	AOS32	identical	1	0	N	0	0
BLST04BS	AOS32	identical	1	0	N	0	0
