module	kreiss_verdict	ibm_verdict
IGC0208B	text	length
IGC0210D	length	length
IGC058	text	length
IGC0610D	length	length
IGC084	text	length
IGC0905I	length	length
IGC0B10D	length	length
IGC0C10D	length	length
IGC0E06F	length	length
IGC0H10D	length	length
IGC0K10D	length	length
IGC0L10D	length	length
IGC111	text	length
IGCA010D	length	length
IGCA110D	length	length
IGCA210D	length	length
IGCA310D	length	length
IGCA510D	length	length
IGCAA10D	length	length
IGCAB10D	length	length
IGCAD10D	length	length
IGCAE10D	length	length
IGCAF10D	mixed	mixed
IGCAG10D	length	length
IGCAT10D	length	length
IGCC110D	length	length
IGCD310D	length	length
IGCDD10D	length	length
IGCDL10D	length	length
IGCFA10D	length	length
IGCFB10D	length	length
IGCFC10D	length	length
IGCFD10D	mixed	mixed
IGCFE10D	length	length
IGCFG10D	length	length
IGCFH10D	length	length
IGCFI10D	length	length
IGCFJ10D	length	length
IGCFP10D	length	length
IGCH010D	length	length
IGCMH10D	length	length
IGCMI10D	length	length
IGCMK10D	length	length
IGCML10D	length	length
IGCMN10D	length	length
IGCMS10D	length	length
IGCMT10D	mixed	mixed
IGCMY10D	length	length
IGCR010D	length	length
IGCT005C	length	length
IGCT005G	length	length
IGCT105C	length	length
IGCV910D	length	length
IGCVA10D	length	length
IGCVE10D	length	length
IGCVF10D	length	length
IGCZ010D	length	length
IGE0000D	length	length
IGE0001A	length	length
IGE0001C	length	length
IGE0002C	length	length
IGE0003C	length	length
IGE0101F	length	length
IGE0301H	length	length
IGE0904I	length	length
IGFCIC	length	length
IGFDE1	length	length
IGFDI1	length	length
IGFDM1	length	length
IGFDS0	mixed	mixed
IGFDT1	length	length
IGFDT2	text	text
IGFDV0	length	length
IGFDW0	length	length
IGFPBUCR	text	length
IGFPINIT	text	identical
IGFPKREF	text	holes
IGFPMHCA	text	length
IGFPMKTA	text	length
IGFPMPFX	text	holes
IGFPTAIM	text	length
IGFPWMSG	length	length
IGFRINIT	length	length
IGFTMCHK	text	length
IGG01924	length	length
IGG0192X	length	length
IGG0192Z	mixed	mixed
IGG0198L	text	text
IGG0199F	length	length
IGG0199G	text	text
IGG0199W	length	length
IGG019AH	mixed	mixed
IGG019DJ	length	length
IGG019DK	length	length
IGG019HP	text	text
IGG019LS	length	length
IGG019MR	text	length
IGG019MS	text	text
IGG019P9	text	length
IGG019R6	length	length
IGG019RK	text	text
IGG019RQ	text	text
IGG019T6	length	length
IGG019T7	length	length
IGG019VW	length	length
IGG0201W	mixed	mixed
IGG020FC	mixed	mixed
IGG0860C	mixed	mixed
IGG086AE	length	length
IGG0CLA0	length	length
IGG0CLA2	length	length
IGG0CLA3	length	length
IGG0CLA4	length	length
IGG0CLA5	length	length
IGG0CLA6	length	length
