module	ifox_vs_dlib	as370_vs_dlib	cell	first_diff	len_ifox	len_as370	dlib_library
IFG0195A	length	length	neither matches IBM				length
IFG0195C	mixed	mixed	neither matches IBM				mixed
IFG0195D	text	text	neither matches IBM				text
IFG0195G	text	text	neither matches IBM				text
IFG0195H	length	length	neither matches IBM				length
IFG0195K	length	length	neither matches IBM				length
IFG0195T	text	text	neither matches IBM				text
IFG0196J	text	text	neither matches IBM				text
IFG0196N	mixed	mixed	neither matches IBM				mixed
IFG0196O	length	length	neither matches IBM				length
IFG0196Q	text	text	neither matches IBM				text
IFG0196T	length	length	neither matches IBM				length
IFG0196U	length	length	neither matches IBM				length
IFG0196W	mixed	mixed	neither matches IBM				mixed
IFG0196X	length	length	neither matches IBM				length
IFG0200V	length	length	neither matches IBM				length
IFG0200Z	length	length	neither matches IBM				length
IFG0201R	mixed	mixed	neither matches IBM				mixed
IFG0202A	length	length	neither matches IBM				length
IFG0202C	length	length	neither matches IBM				length
IFG0202D	mixed	mixed	neither matches IBM				mixed
IFG0202F	mixed	mixed	neither matches IBM				mixed
IFG0202J	length	length	neither matches IBM				length
IFG0232D	text	text	neither matches IBM				text
IFG0232J	mixed	mixed	neither matches IBM				mixed
IFG0232M	length	length	neither matches IBM				length
IFG0232S	mixed	mixed	neither matches IBM				mixed
IFG0232Z	length	length	neither matches IBM				length
IFG0551F	length	length	neither matches IBM				length
IFG0551P	mixed	mixed	neither matches IBM				mixed
IFG0551R	mixed	mixed	neither matches IBM				mixed
IFG0551T	length	length	neither matches IBM				length
IFG0552B	length	length	neither matches IBM				length
IFG0552D	length	length	neither matches IBM				length
IFG0552F	text	text	neither matches IBM				text
IFG0552N	length	length	neither matches IBM				length
IFG0552R	length	length	neither matches IBM				length
IFG0552T	length	length	neither matches IBM				length
IFG0552X	length	length	neither matches IBM				length
IFG0553H	text	text	neither matches IBM				text
IFG0553P	length	length	neither matches IBM				length
IFG0553X	length	length	neither matches IBM				length
IFG0553Z	length	length	neither matches IBM				length
IFG0554B	mixed	mixed	neither matches IBM				mixed
IFG0554N	length	length	neither matches IBM				length
IFG0554Z	text	text	neither matches IBM				text
IFG0555B	text	text	neither matches IBM				text
IFG0555H	length	length	neither matches IBM				length
IFG0RR0E	length	length	neither matches IBM				length
IFG0RR0F	mixed	mixed	neither matches IBM				mixed
IFG0TC0A	length	length	neither matches IBM				length
IFNX5V	text	text	neither matches IBM				text
IGC00020	length	length	neither matches IBM				length
IGC0002B	length	length	neither matches IBM				length
IGC0002C	mixed	mixed	neither matches IBM				mixed
IGC0003A	length	length	neither matches IBM				length
IGC0005E	length	length	neither matches IBM				length
IGC0005G	length	length	neither matches IBM				length
IGC0006D	length	length	neither matches IBM				length
IGC0007H	text	text	neither matches IBM				text
IGC0408B	holes	holes	neither matches IBM				holes
IGE0000H	holes	holes	neither matches IBM				holes
IGE0001H	mixed	mixed	neither matches IBM				mixed
IGE0004A	length	length	neither matches IBM				length
IGE0004C	length	length	neither matches IBM				length
IGE0019I	length	length	neither matches IBM				length
IGE0119I	holes	holes	neither matches IBM				holes
IGE0904B	length	length	neither matches IBM				length
IGG01910	identical	identical	both match -- impossible, check the comparison				identical
IGG01911	identical	identical	both match -- impossible, check the comparison				identical
IGG01912	identical	identical	both match -- impossible, check the comparison				identical
IGG01913	identical	identical	both match -- impossible, check the comparison				identical
IGG01915	identical	identical	both match -- impossible, check the comparison				identical
IGG01916	length	length	neither matches IBM				length
IGG01917	identical	identical	both match -- impossible, check the comparison				identical
IGG01918	identical	identical	both match -- impossible, check the comparison				identical
IGG01919	identical	identical	both match -- impossible, check the comparison				identical
IGG0191A	length	length	neither matches IBM				length
IGG0191B	text	text	neither matches IBM				text
IGG0191C	length	length	neither matches IBM				length
IGG0191D	identical	identical	both match -- impossible, check the comparison				identical
IGG0191G	identical	identical	both match -- impossible, check the comparison				identical
IGG0191H	identical	identical	both match -- impossible, check the comparison				identical
IGG0191I	length	length	neither matches IBM				length
IGG0191J	length	length	neither matches IBM				length
IGG0191K	identical	identical	both match -- impossible, check the comparison				identical
IGG0191L	length	length	neither matches IBM				length
IGG0191M	length	length	neither matches IBM				length
IGG0191N	length	length	neither matches IBM				length
IGG0191O	identical	identical	both match -- impossible, check the comparison				identical
IGG0191P	identical	identical	both match -- impossible, check the comparison				identical
