module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal
IEDAYI	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDCSA	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				cards				length	both flag
IEDIAA	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDNCU2	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDNLT	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDNTR	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDPCOUT	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQA3	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQA4	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes	0x0028e	750	750	length	both flag
IEDQA8	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQAI	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQAS	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes				length	both flag
IEDQAX	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes	0x00077	544	544	length	both flag
IEDQBG	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQBM	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQBP	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQBQ	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes				mixed	both flag
IEDQBR	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQBX	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQGA	8	2	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes				length	both flag
IEDQHM1	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes	0x00a5b	3118	3118	length	both flag
IEDQKB	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQKC	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes				length	both flag
IEDQNB	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				mixed	both flag
IEDQNM	8	2	8	IFO117 first expression in substring notation exceeds the length of the string | Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0008				bytes				length	both flag
IEDQW33	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes	0x002cf	2028	2028	mixed	both flag
IEDQWA1	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				cards				length	both flag
IEDQWAJ	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQWI5U	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQWJ2	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				cards				length	both flag
IEDQWM2	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQWN	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				cards				length	both flag
IEDQWQ	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDQWR	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IEDSCPRP	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				mixed	both flag
IEDXFMO	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				mixed	both flag
IEE1603D	8	2	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement)	0000				cards				length	as370 alone flags
IEE70110	8	1	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement)	0000				bytes	0x00179	776	776	length	as370 alone flags
IEECVET1	8	3	8	This card was consumed as a continuation and the statement on it discarded (IFOX00 does not even warn here; the card's columns 1-15 are blank) | Symbol longer than 8 characters in operand expression (instruction zeroed; MVS symbols are limited to 8) | Undefined symbol	0008				bytes	0x003fa	1772	1772	length	both flag
IEECVETQ	8	3	8	Undefined symbol	0000				identical				holes	as370 alone flags
IEECVFTQ	8	2	8	This card was consumed as a continuation and the statement on it discarded (IFOX00 does not even warn here; the card's columns 1-15 are blank)	0000				identical				length	as370 alone flags
IEFIB645	8	3	8	Undefined symbol	0000				cards	0x0004b	800	748	length	as370 alone flags
IEFSD263	8	1	8	Undefined symbol	0008				cards				length	both flag
IERRCV	8	1	8	Undefined symbol	0000				bytes				no-pair	as370 alone flags
IEWFETCH	8	8	8	Undefined operation code | Undefined symbol	0008				bytes				no-pair	both flag
IFCE0115	8	259	8	Undefined operation code | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0012				cards				unpaired	both flag
IFCE0135	8	1	8	Undefined symbol	0000				cards	0x00106	8017	6913	length	as370 alone flags
IFCE1018	8	263	8	Undefined operation code | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0012				cards				unpaired	both flag
IFCE2880	8	39	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0000				cards	0x00002	14307	12496	length	as370 alone flags
IFCEA155	8	124	8	Undefined symbol	0000				cards	0x00003	5669	4691	length	as370 alone flags
IFCEARG2	8	130	8	Undefined operation code | Undefined symbol	0012				cards	0x00032	206	1891	length	both flag
IFCEARG6	8	98	8	Undefined operation code | Undefined symbol	0012				cards				length	both flag
IFCEAXXX	8	30	8	Undefined symbol	0000				cards				length	as370 alone flags
IFCEEDIT	8	1	8	Undefined operation code	0008				identical				length	both flag
IFCENFM3	8	268	8	Undefined operation code | Undefined symbol	0012				cards	0x0014b	492	3291	length	both flag
IFCENFP2	8	223	8	Undefined operation code | Undefined symbol	0012				cards				length	both flag
IFCEOAK1	8	16	8	Undefined symbol	0000				cards				length	as370 alone flags
IFCETRN5	8	10	8	Undefined symbol	0000				cards				length	as370 alone flags
IFCETRN6	8	230	8	Undefined operation code | Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0012				cards				unpaired	both flag
