module	as370_rc	ifox_rc	tool	tool_restamped	dlib
ISTAPC57	0	0000	bytes	bytes	length
ISTAPC58	0	0000	cards		mixed
ISTAPC59	0	0000	identical		mixed
ISTAPC61	0	0000	bytes	bytes	length
ISTAPC62	0	0000	identical		length
ISTAPC63	0	0000	identical		mixed
ISTAPC64	0	0000	identical		identical
ISTAPC66	0	0000	identical		length
ISTAPC83	0	0000	identical		length
ISTAPC84	0	0000	identical		length
ISTAPM69	0	0000	identical		holes
ISTATM00	0	0000	identical		length
ISTATM10	0	0000	identical		length
ISTAUCAG	0	0000	identical		identical
ISTAUCAT	0	0000	identical		identical
ISTCC010	0	0000	identical		holes
ISTCC011	0	0000	identical		identical
ISTCC012	0	0000	identical		holes
ISTCC013	0	0000	identical		text
ISTCC014	0	0000	identical		text
ISTCC015	0	0000	identical		identical
ISTCC016	0	0000	identical		holes
ISTCFCDP	0	0000	identical		holes
ISTCFCMM	0	0008	identical		text
ISTCFCPC	0	0000	identical		mixed
ISTCFCPO	0	0000	identical		holes
ISTCFCR1	0	0000	identical		length
ISTCFCR2	0	0000	identical		text
ISTCFCRP	0	0000	identical		identical
ISTCFCS1	0	0000	identical		length
ISTCFCS2	0	0000	identical		length
ISTCFF3D	0	0000	identical		text
ISTCFMMI	0	0000	identical		identical
ISTCFMTM	0	0000	identical		length
ISTCRCR4	0	0000	identical		identical
ISTCSCAC	0	0000	identical		length
ISTCSCAQ	0	0000	identical		length
ISTCSCCL	0	0000	identical		identical
ISTCSCLG	0	0000	identical		length
ISTCSCMR	0	0000	identical		length
ISTCSCPS	0	0000	identical		mixed
ISTCSCRL	0	0000	identical		length
ISTDCC00	0	0000	identical		length
ISTDCC02	0	0000	identical		length
ISTDCC10	0	0000	identical		holes
ISTDCC11	0	0000	identical		length
ISTDCC12	0	0000	identical		holes
ISTDCC13	0	0000	identical		identical
ISTDCC20	0	0000	identical		identical
ISTDCC21	0	0000	identical		length
ISTDCC22	0	0000	identical		identical
ISTDCC23	0	0000	identical		holes
